-9,-7,-5,-3,-1,1,3,5,7,9,date,11
50,0,0,0,0,0,0,0,0,0,2009/1/3,0
0,50,0,0,0,0,0,0,0,0,2009/1/4,0
0,50,0,0,0,0,0,0,0,0,2009/1/5,0
0,50,0,0,0,0,0,0,0,0,2009/1/6,0
0,50,0,0,0,0,0,0,0,0,2009/1/7,0
0,50,0,0,0,0,0,0,0,0,2009/1/8,0
700,50,0,0,0,0,0,0,0,0,2009/1/9,0
3050,750,0,0,0,0,0,0,0,0,2009/1/10,0
4650,3800,0,0,0,0,0,0,0,0,2009/1/11,0
4750,8400,0,0,0,0,0,0,0,0,2009/1/12,0
6150,13150,0,0,0,0,0,0,0,0,2009/1/13,0
6511,19239,0,0,0,0,0,0,0,0,2009/1/14,0
6700,25350,0,0,0,0,0,0,0,0,2009/1/15,0
5600,31850,0,0,0,0,0,0,0,0,2009/1/16,0
5450,37450,0,0,0,0,0,0,0,0,2009/1/17,0
5500,42750,0,0,0,0,0,0,0,0,2009/1/18,0
6525,47475,0,0,0,0,0,0,0,0,2009/1/19,0
6100,53600,0,0,0,0,0,0,0,0,2009/1/20,0
5200,59600,0,0,0,0,0,0,0,0,2009/1/21,0
5050,64300,0,0,0,0,0,0,0,0,2009/1/22,0
4650,68900,0,0,0,0,0,0,0,0,2009/1/23,0
10550,73050,0,0,0,0,0,0,0,0,2009/1/24,0
9600,83550,0,0,0,0,0,0,0,0,2009/1/25,0
5800,92150,0,0,0,0,0,0,0,0,2009/1/26,0
5000,97800,0,0,0,0,0,0,0,0,2009/1/27,0
5600,102800,0,0,0,0,0,0,0,0,2009/1/28,0
6650,107800,0,0,0,0,0,0,0,0,2009/1/29,0
5850,114450,0,0,0,0,0,0,0,0,2009/1/30,0
7900,119300,0,0,0,0,0,0,0,0,2009/1/31,0
5750,127100,0,0,0,0,0,0,0,0,2009/2/1,0
6450,132750,50,0,0,0,0,0,0,0,2009/2/2,0
7150,139000,50,0,0,0,0,0,0,0,2009/2/3,0
5950,146150,50,0,0,0,0,0,0,0,2009/2/4,0
6300,152100,50,0,0,0,0,0,0,0,2009/2/5,0
6100,158400,50,0,0,0,0,0,0,0,2009/2/6,0
7600,163350,50,0,0,0,0,0,0,0,2009/2/7,0
7600,169300,700,0,0,0,0,0,0,0,2009/2/8,0
8900,171650,3750,0,0,0,0,0,0,0,2009/2/9,0
6000,175900,8400,0,0,0,0,0,0,0,2009/2/10,0
7100.04,176710.96,13139,0,0,0,0,0,0,0,2009/2/11,0
5950,178011,18939,0,0,0,0,0,0,0,2009/2/12,0
6200,178250,24650,0,0,0,0,0,0,0,2009/2/13,0
6800,178175,30925,0,0,0,0,0,0,0,2009/2/14,0
6950,179175,36175,0,0,0,0,0,0,0,2009/2/15,0
7600,179875,40925,0,0,0,0,0,0,0,2009/2/16,0
5850,182425,45975,0,0,0,0,0,0,0,2009/2/17,0
5900,182250,52000,0,0,0,0,0,0,0,2009/2/18,0
7000,181750,57600,0,0,0,0,0,0,0,2009/2/19,0
6100,183900,62450,0,0,0,0,0,0,0,2009/2/20,0
5700,185300,67150,0,0,0,0,0,0,0,2009/2/21,0
6450,186250,71500,0,0,0,0,0,0,0,2009/2/22,0
5400,182700,81500,0,0,0,0,0,0,0,2009/2/23,0
5300,179000,90600,0,0,0,0,0,0,0,2009/2/24,0
5250,178950,95950,0,0,0,0,0,0,0,2009/2/25,0
5350,179450,100700,0,0,0,0,0,0,0,2009/2/26,0
7550,177700,106000,0,0,0,0,0,0,0,2009/2/27,0
5300,178450,112450,0,0,0,0,0,0,0,2009/2/28,0
5250,178300,117900,0,0,0,0,0,0,0,2009/3/1,0
5400,177200,124250,0,0,0,0,0,0,0,2009/3/2,0
5650,176650,129800,0,0,0,0,0,0,0,2009/3/3,0
6450,175100,135750,0,0,0,0,0,0,0,2009/3/4,0
6000,174150.04,142749.96,0,0,0,0,0,0,0,2009/3/5,0
5850,174500.04,148399.96,0,0,0,0,0,0,0,2009/3/6,0
5450,174250.04,154499.96,0,0,0,0,0,0,0,2009/3/7,0
6950,172550.04,160449.96,0,0,0,0,0,0,0,2009/3/8,0
5400,172450.04,167499.96,0,0,0,0,0,0,0,2009/3/9,0
5350,170650.04,174699.96,0,0,0,0,0,0,0,2009/3/10,0
5700,167300.04,183399.96,0,0,0,0,0,0,0,2009/3/11,0
6050,166950.04,189299.96,0,0,0,0,0,0,0,2009/3/12,0
6400,165400,196150,0,0,0,0,0,0,0,2009/3/13,0
5500,166100,201850,0,0,0,0,0,0,0,2009/3/14,0
6150,165750,207700,0,0,0,0,0,0,0,2009/3/15,0
8450,163150,214050,0,0,0,0,0,0,0,2009/3/16,0
5700,165050,220600,0,0,0,0,0,0,0,2009/3/17,0
6400,162850,227800,0,0,0,0,0,0,0,2009/3/18,0
6100,163750,233300,0,0,0,0,0,0,0,2009/3/19,0
6500,163550,239000,0,0,0,0,0,0,0,2009/3/20,0
2500,163450,245600,0,0,0,0,0,0,0,2009/3/21,0
6500,159650,251350,0,0,0,0,0,0,0,2009/3/22,0
6500,160700,256800,0,0,0,0,0,0,0,2009/3/23,0
5250,161200,262800,0,0,0,0,0,0,0,2009/3/24,0
5850,161500,267750,0,0,0,0,0,0,0,2009/3/25,0
7250,160800,272900,0,0,0,0,0,0,0,2009/3/26,0
5300,163050,277900,0,0,0,0,0,0,0,2009/3/27,0
6950,162200,283050,0,0,0,0,0,0,0,2009/3/28,0
5800,161950,290250,0,0,0,0,0,0,0,2009/3/29,0
6000,162550,295450,0,0,0,0,0,0,0,2009/3/30,0
7100,162200,300200,0,0,0,0,0,0,0,2009/3/31,0
5700,164350,305150,0,0,0,0,0,0,0,2009/4/1,0
5750,164950,310250,0,0,0,0,0,0,0,2009/4/2,0
5800,164750,316200,0,0,0,0,0,0,0,2009/4/3,0
5650,165050,321650,50,0,0,0,0,0,0,2009/4/4,0
7350,164750,326750,50,0,0,0,0,0,0,2009/4/5,0
5450,167250,331600,50,0,0,0,0,0,0,2009/4/6,0
5000,166150,338150,50,0,0,0,0,0,0,2009/4/7,0
5250,166350,342950,50,0,0,0,0,0,0,2009/4/8,0
4950,166700,347850,50,0,0,0,0,0,0,2009/4/9,0
5400,166300,352550,700,0,0,0,0,0,0,2009/4/10,0
6350,165750,355100,3750,0,0,0,0,0,0,2009/4/11,0
6550,165250,356650,8400,0,0,0,0,0,0,2009/4/12,0
5800,166250,357411,13139,0,0,0,0,0,0,2009/4/13,0
6200,166050,357611,18939,0,0,0,0,0,0,2009/4/14,0
5650,164000,360150,24650,0,0,0,0,0,0,2009/4/15,0
6150,164300,359225,30925,0,0,0,0,0,0,2009/4/16,0
5600,164350,360075,36175,0,0,0,0,0,0,2009/4/17,0
6450,164150,360975,40925,0,0,0,0,0,0,2009/4/18,0
6350,164000,362125,45975,0,0,0,0,0,0,2009/4/19,0
11700,163450,357250,52000,0,0,0,0,0,0,2009/4/20,0
6200,169200,357550,57600,0,0,0,0,0,0,2009/4/21,0
6050,169150,358950,62450,0,0,0,0,0,0,2009/4/22,0
3750,170250,359200,67150,0,0,0,0,0,0,2009/4/23,0
5750,168650,360200,71500,0,0,0,0,0,0,2009/4/24,0
