,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
0,2017-07-31,636379.6857716999,2465039.81025347,2003120.2045440597,1258057.96940559,1444149.5553584988,1857345.3060457709,1044132.7954975887,1984113.0603793203,919285.09893112,2869353.80911604,0.0
1,2017-08-01,495707.18024105,2731381.109069753,1949135.96269826,1216453.7943615292,1429565.7870907097,1852331.6020306638,1038908.3182278308,1981729.4997360704,916986.1216062305,2869890.4202410686,0.0
2,2017-08-02,193026.08886957003,3079911.7723718104,1923905.0450400803,1198199.6344846296,1306325.8374532806,1974665.9620307398,1037807.0608023412,1981138.5560856003,915589.0274528,2871608.3107123086,0.0
3,2017-08-03,395500.42965914,2944311.50114544,1878284.932249212,1211696.9125797094,1286019.5683610707,1973420.4095622809,1026109.0068551176,1983414.0300106802,912512.2870737507,2871345.717806762,0.0
4,2017-08-04,686690.9685848099,2828512.8166639726,1836846.234117229,1201054.6133057296,1268063.5335270085,1947065.8689790412,966335.9074257598,1977993.166514809,906481.0668598899,2863808.1193249114,0.0
5,2017-08-05,521053.07378834,3100860.202767441,1818862.4314817681,1177873.7140669085,1260951.9708895409,1922430.925417053,947623.1851106995,1969390.01081281,902911.6623197,2861057.618648899,0.0
6,2017-08-06,443771.59320989,3245954.6803099383,1853008.2168315488,1154378.065482778,1258136.3547703288,1898173.515569141,942758.9348672684,1929309.247249489,901338.9419620001,2856997.745050772,0.0
7,2017-08-07,346495.26973307005,3427128.6183448914,1814084.903338251,1144024.116143169,1250034.7585495405,1885654.8097771863,938343.8843755508,1923907.6495838785,898941.1352384597,2856187.15021916,0.0
8,2017-08-08,303728.05396884,3522271.1458705217,1814460.762877631,1135596.1096805509,1247875.2582386793,1769756.5618827983,1024660.1896191596,1918980.30768109,894579.6853384501,2853181.720145442,0.0
9,2017-08-09,210110.15735635,3632931.447619356,1813480.7481407726,1140249.062346961,1242657.1994075684,1726924.3797739516,1057423.5984921902,1919128.5608680588,892064.0991441201,2851308.042153832,0.0
10,2017-08-10,220752.67519117,3631979.1093171206,1811479.9580053887,1140318.75654293,1238792.4882591416,1727232.757441211,1057183.0123026394,1914573.861597809,893328.166309779,2851886.510335971,0.0
11,2017-08-11,256902.42880591,3562211.696603232,1833524.3029711503,1153439.7890319102,1240117.1016916798,1726818.7601845418,1055924.9957050784,1912770.6617101403,894343.4915323202,2852311.5670672012,0.0
12,2017-08-12,152661.82342969,3665475.7306981217,1829748.7979399718,1157869.6225923095,1243430.9644580882,1725403.0321714615,1050004.1381730305,1917122.1358489504,893919.4782837706,2853629.071707772,0.0
13,2017-08-13,114250.19208287,3709969.50240474,1834485.6986165287,1156348.8423230294,1242675.770983211,1721285.5399248132,1040797.7608466395,1922171.455891869,894312.5141348095,2853942.5180946505,0.0
14,2017-08-14,229999.46903579,3624970.0712949215,1826004.590841431,1159274.218849779,1236268.3104683512,1721254.8352736463,1026078.6005283508,1919692.538408072,892957.8995796301,2854876.7610231913,0.0
15,2017-08-15,299610.72054804,3546523.99840646,1847595.61664515,1158531.2483125592,1236368.8215579086,1716731.8723402375,1023691.1830602222,1917019.1566407909,889470.8253513299,2857233.85244046,0.0
16,2017-08-16,196933.1197686,3663701.1039867206,1839452.4638014375,1171772.9239941686,1231342.0133327604,1704616.993435289,1022256.865329529,1916358.2267681502,889216.6466442792,2858176.938242221,0.0
17,2017-08-17,357360.1887729101,3488634.924537852,1857146.913089669,1178016.18544577,1232225.99836422,1701575.9791697322,1013670.9908979194,1918684.678837741,887510.5387092803,2859813.397478072,0.0
18,2017-08-18,394895.49358098,3493794.8275007717,1856644.795306368,1175148.4453539005,1220918.79759961,1681079.6268926992,1014514.8293609415,1912736.3755837984,883764.8362834299,2861954.267840661,0.0
19,2017-08-19,378290.2834955499,3551078.45575923,1868906.8986501703,1163557.368558509,1197804.3241673412,1677405.6203953098,1010580.4442073908,1906473.325144132,882240.8833989501,2860752.19152658,0.0
